Страница,Комментарий исполнителя,Комментарий проверяющего,Описание бага,Приоритет,Проверяющий,"Разрешение, Система, браузер, версия",Скрин или видео,Статус
general,"Закрыт по вашему же комментарию: «уже нет в фигме, отбой».","уже нет в фигме, отбой","докрутить стрелку в футере, в макете просто галочка ",,,"Safari, Desktop","%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0__2026-07-20_%D0%B2_14.14.05.png, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0__2026-07-20_%D0%B2_14.14.10.png",Исправлен
https://utopia.esipof.com/careers/growth-partnership-manager,"ПРИЧИНА НАЙДЕНА: автоплей глушил onMouseEnter, повешенный на всю <section>, а она 1440×888 — во весь экран. Любой указатель, лежащий на странице, пока человек читает, держал hovered=true, и таймер не срабатывал никогда. У тача ховера нет — поэтому на телефоне крутилось, а на десктопе выглядело мёртвым. Плюс по слотам не было обработчика клика вообще, единственным ручным управлением была точка 4×4px (теперь 8×20 без сдвига пилюли). Замер после: 0 → 1 → 2 за 5.4с каждый, клик по последователю поднимает его в лид-слот. Отдельно починен «видео фейд»: симметричный кросс-фейд оставлял оба слоя на 0.5 и композит показывал четверть плоской заливки карточки — та мутная полоса на вашем скриншоте. Теперь dissolve, видимость заливки 0.000 на каждой выборке. На мобиле тап по последователю переносит фото из слота 184×244 в 276×366 с осадкой scale 1.06 → 1.",на деске карточки по прежнему не переключаются ,cлайдер Team up не переключается на деске и видео фейд + на мобилке при просмотре след. изображения оно не увиличивается как в фигме ,,,"Safari, Desktop + safari, Iphone 17 pro","%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0__2026-07-20_%D0%B2_14.43.33.png, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/IMG_7650.png",Можно проверять
https://utopia.esipof.com/,"Секция Opening (не destinations). Закрыт правками по видео: записано ~1400 кадров на конфигурацию при 1440 и 1728 — во всех кадрах, где секция закреплена, нижний зазор 0.0px, левый 0.0px, border-radius 0px, бокс медиа совпадает с боксом секции.",,"снизу изображение не во всю высоту блока, скругления обрезаются",,,"Chrome, Desktop, 16”, Macbook pro",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/CleanShot_2026-07-21_at_19.58.592x.jpg,Можно проверять
https://utopia.esipof.com/,"Не воспроизводится: 40+ прогонов жестов, ~50 срабатываний петли, на 768/1440/1920, в обе стороны, четырьмя способами ввода (синтетический клик, реальный клик, непрерывное колесо 150px/24мс, рывками с паузами 135мс, реальное перетаскивание), с автоплеем и с reduced motion. Ноль плохих кадров по двум независимым метрикам. Через сам шов dx/dw/dh = 0.00/0.00/0.00 на 1440 и 768. Просьба перепроверить на новой сборке.",,"Слайдер багуется между слайдами Jericoacoara, Brazil и Roca, Costa Rica",,,"Chrome, Desktop, 16”, Macbook pro",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/CleanShot_2026-07-21_at_20.02.20.gif,Можно проверять
https://utopia.esipof.com/,"Проверены все слайдеры сайта на 378/768/1440. Герой, ecosystem, opening, private world и Team up были в порядке; дыры нашлись в двух каруселях Work (careers.module.css и job-opening.module.css) — там не было ни user-select, ни -webkit-user-drag. Оба свойства проставлены на самих <img> (не наследуются), перетаскивание каруселей проверено — не сломано.",,"Не знаю, предусмотрена ли здесь возможность переключать слайды перетаскиванием, как-будто по юикс нужна, но надо уточнить у дизов. Но как минимум во всех слайдерах надо отключить user-select для изображений",,,"Chrome, Desktop, 16”, Macbook pro",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/CleanShot_2026-07-21_at_20.06.00.gif,Можно проверять
https://utopia.esipof.com/,"Мобильный герой (Swiper). Причина установлена: недозаполнение петли при slidesPerView=auto с centeredSlides и loopAdditionalSlides=2 — на части индексов Swiper не дублирует достаточно слайдов слева. Файл занят параллельной задачей по видео, правка не вносилась.",,"Когда становится активным слайд с коста рикой, слева от него пропадает слайд (хотя на мобилке такого нет, не через инспектор если)",,,"Chrome, Inspector, (Iphone 14 Pro Max)",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/CleanShot_2026-07-24_at_16.11.332x.jpg,Открыто
https://utopia.esipof.com/,"Уже закрыт: лента Private World теперь доходит до правого края экрана. Замер при 430 — обёртка 16→430, последователь 312→496 обрезается кромкой экрана, кремовой полосы нет.",,"тут в слайдере справа отступ, нужно фиксануть, чтобы не обрезался слайд. ",,,"Chrome, Inspector, (Iphone 14 Pro Max)",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/CleanShot_2026-07-24_at_16.15.402x.jpg,Можно проверять
https://utopia.esipof.com/,"Это не дыра в вёрстке: кремовая полоса — это theme-color, красящий зону статус-бара поверх тёмного фото героя. Добавлен colorScheme: light (его нигде не было объявлено, из-за чего глифы статус-бара рисовались белым по кремовому) — читаемость исправлена. По-маршрутный тёмный theme-color НЕ сделан осознанно: цвет один на весь маршрут, поэтому полоса останется тёмной, когда пользователь доскроллит до кремовых секций. Сейчас неправильно вверху — станет неправильно внизу. Нужно решение дизайнера.",,Сверху отступ от изображения,,,"Iphone 11 pro, Comet",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/image.png,Требует уточнения
https://utopia.esipof.com/?variant=rounded,"Причина: правило .categoryTab:not(.categoryTabActive):hover { color: белый } не было ограничено светлым вариантом и по специфичности (0,3,0) било .categoryTabsLight .categoryTab (0,2,0) — лейбл «Urban» рендерился белым по кремовому. Добавлено правило ховера для светлого варианта. Замер реальным наведением: было #fff (невидимо), стало rgb(0,0,0) при 1440 и 768.",,в сафари при ховере текст сливается ,,,"Safari, desktop",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0__2026-07-27_%D0%B2_12.05.39.png,Можно проверять
https://utopia.esipof.com/?variant=rounded,"Портирован desktop_v10. Замер сходится с прототипом: карточка при 1440 — 534.81 → 591 (v10: 591), при 1920 — 672.34 → 756 (756), при 2560 — 1032.34 → 1116 (1116); верх заголовка при 1440 — 80.11 → 120.11 (120), при 1024 — 68.42 (то есть под баром) → 120.06; ряд табов 352 → 296 и переехал внутрь карточки; кегль таба при 2560 — 19 → 18. ВНИМАНИЕ: v10 — это ревизия варианта rounded (форк v8), про sharp он не говорит ничего, и в sharp баг ОСТАЛСЯ: верх заголовка 68.46 при 1024×768 и 71.30 при 1280×800, то есть бар режет заголовок. Нужно решение, следует ли sharp за v10.",тут сверстала https://embacydev.github.io/Utopia/desktop_v10/,огромный текст на верхней навигации — не помещается заголовок. тут будет другое решение от @Irina N ,,,"Safari, desktop",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_13.06.24.png,Можно проверять
https://utopia.esipof.com/?variant=rounded,"Не воспроизводится: при 1440 бровка «Opening in 2027» садится на y=72.00 при низе фиксированного бара 72.00 — дельта ноль, заголовок на 118. При 768 бар в потоке и перекрывать не может. Снято со старого деплоя.",,"Opening как будто надо чуть спустить вниз, заезжает на меню ",,,"Safari, desktop",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0__2026-07-27_%D0%B2_12.07.37.png,Можно проверять
https://utopia.esipof.com/?variant=rounded,"Закрыт правками по видео: в кадр подставлялся портретный мобильный файл (1076×1924), который cover-вписывался в полноширинный ландшафтный кадр с увеличением примерно в 2.4 раза. Теперь ландшафтные источники и object-position 50% 50% начиная с 640.","можешь плиз, чуть больше вводных дать) ",видос объебался полностью,,,"Safari, desktop",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_13.08.30.png,Можно проверять
https://utopia.esipof.com/?variant=rounded,"ПРИЧИНА НАЙДЕНА: в прототипе кап масштаба берёт минимум из ширинного и высотного, а к нам портировали только высотную половину. Плюс у подписи был padding-left: 16px без парного правого. Замер по центру активной карточки относительно центра экрана: при 1280×651 (ваш вьюпорт) +10.8 → −0.0, при 1280×800 +66.5 → −0.0, при 1920 и 2560 +31.5 → −0.5. По центру подписи относительно центра карточки: +77.2 → 0.0 при вашем вьюпорте. Прототип на десктопе НЕ левоприбит — вы были правы; левоприбита только раскладка на ≤1024.",,"поехало выравнивание, текст должен быть выровнен по карточки, сама карточка должна быть в центре экрана ",,,"Safari, desktop",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_13.09.36.png,Можно проверять
https://utopia.esipof.com/?variant=rounded,"Две причины. Первая — уходящая карточка улетала влево через заголовок; теперь уходит вправо под соседние, дословно как в прототипе (сдвиг +60 с сохранением размера, z-index 1, 350мс). Вторая, и она специфична для Safari — карточки анимировали width и height (layout-свойства) одновременно с transform, а Safari интерполирует эти дорожки в разных кадрах. Прототип так не делает: держит всем карточкам один размер и играет только transform: scale(...), opacity и радиус. Переведено. Покадровый замер (~145 кадров на переход, полный цикл, 1440/1280×651/1920/378): computed width и height держат ОДНО значение за весь переход, меняется только transform. Побочно найдено и починено: невидимая prev-карточка ещё секунду ехала в парковочный слот после того, как всё видимое встало — теперь два полных прохода цикла дают побайтово одинаковые раскладки.",,"в сафари при клике на карточки, поймала баг. карточки скачут, тоже самое и на адаптивах в сафари ",,,"Safari, desktop",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/%D0%91%D0%B5%D0%B7_%D0%BD%D0%B0%D0%B7%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F.mov,Можно проверять
https://utopia.esipof.com/?variant=rounded,"Разделилось надвое. «Слишком близко к верхней границе» — настоящий баг, причина воспроизведена: вы снимали при 1280×656, а футер фиксированной высоты 640 в окне 656 начинается на y=16, и 72-пиксельный бар съедает 56 из его 72px верхнего паддинга. Починено через clamp, инертный при любой высоте окна ≥712: просвет под баром 16 → 72 при 1280×656, на нормальных высотах не меняется ничего. «Все кегли огромные» — НЕ меняли: на вашем вьюпорте наши кегли байт-в-байт совпадают с прототипом (заголовки колонок 26px, ссылки 16px, нижний ряд 14.5px), включая x всех пяти колонок. Зато на широких экранах нашлось расхождение В ДРУГУЮ сторону, у нас мельче: на 1800–1999 ссылки 16 против 18 у v10, нижний ряд 14.5 против 15.5; на ≥2000 у v10 есть целый ультраширокий тир с масштабом ×1.3 и высотой футера 888, которого у нас нет. Нужны ваши числа.",,"футер тоже весь поехал, хз какие тут кегли но все огромное. выглядит неаккуратно и как-то слишком близко к верхней границе",,,"Safari, Desktop",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_13.10.41.png,Требует уточнения
,"См. #6: девять комбинаций страница×ширина, везде играет. Остаточный риск — ветка HEVC в Safari, просьба перепроверить именно там.",,"футере на серверных страницах, не подгружается видос, как на остальных страницах ",,,"Safari, desktop",,Можно проверять
https://utopia.esipof.com/careers,"Причина: плита выводилась инлайновым background-image, указывающим на сырой файл 2048×2048 на 1 275 095 байт — без ресайза, без WebP, поверх серой заливки #c5c2b8. Отсюда ровно то, что на скриншоте: верх — фотография, низ — плоский серый с диагональной полосой, потому что картинка красилась сверху вниз и не успевала. Переведено на next/image с корректными sizes; оптимизатор отдаёт 424 221 байт вместо 1 275 095, а на мобильной ширине 144 440. ОГОВОРКА: на нашем дев-сервере запросы производных именно этого ассета подвисают (кэш изображений холодный и его нельзя почистить при работающем сервере), поэтому нужна одна проверка на нормальной сборке.",,тут что то с изображением ,,,"Safari, desktop",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0__2026-07-27_%D0%B2_12.16.48.png,Можно проверять
https://utopia.esipof.com/careers/site-engineer-barcelona-6aee24df,"Ваш ответ («наложить progressive blur, чтобы под текстом размывалось») реализован: шесть наложенных полос над нижними 52% каждого слайда, каждая следующая удваивает блюр предыдущей (0.25 → 8px) и маскируется окном, обрывающимся на n/6 высоты, поэтому размытие копится к нижней кромке и сходит на нет без шва. Одним backdrop-filter это не делается — он размывает весь бокс равномерно независимо от нарисованного градиента, поэтому у каждой полосы своя маска. Оговорка: калибровка выверена на глаз по вашему скриншоту, узел 4114-15409 из облачного файла нам недоступен — просьба сверить.","надо поверх кратинок наложить progressive blur, чтобы под текстом размывалось https://www.figma.com/design/zhvhlOZzgqXYNm3wsZWKAM/Utopia-x-Embacy---IN?node-id=4114-15409&t=7NlA60bEZmjLqJaY-1","при стартовой позиции, первая карточка должна быть отображена полностью или оставляем как в фигме? @Irina N ",,,"Safari, desktop",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0__2026-07-27_%D0%B2_12.19.02.png,Можно проверять
General ,"Проверены все маршруты. У / , /careers, /terms, /privacy title, description и og уже были; добавлены og:type/siteName/locale, applicationName и canonical. Найден и починен настоящий баг: страница вакансии не отдавала ни og:image, ни twitter:image, потому что её generateMetadata объявляет свой openGraph, а Next заменяет объект целиком и уносит с ним картинку из file-convention. ВАЖНО ДЛЯ ДЕПЛОЯ: обязателен NEXT_PUBLIC_SITE_URL, без него metadataBase = null и og:image резолвится в localhost, то есть превью в соцсетях ломается полностью. Тексты НЕ выдуманы — все заглушки выведены из реального контента страниц и помечены комментариями в коде; нужны подписанные строки для шести маршрутов и подтверждение og:locale (поставлен en_GB).",,"Добавить к страницам og, тайтлы с дискпришенами. Лежат в фигме",,,,,Можно проверять
https://utopia.esipof.com/?variant=rounded,"Горизонтальное центрирование никогда не было сломано: центр карточки против центра экрана ≤0.5px на 1440/1600/1700/1728/1839/1897/1920/2560 в обоих вариантах, и ваш скриншот 1728 попиксельно совпадал с нашим рендером. Съехало ВЕРТИКАЛЬНОЕ: у прототипа лист, заголовок, CTA и сцена карточек — одна колонка с привязкой к верху, а у нас половины были привязаны к противоположным краям. Портирована вертикальная подгонка. Зазор CTA→карточки: 1440 — 313 → 56 (прототип 56), 1728 — 271 → 56 (56), 1920 — 190 → 56 (56), 2560 — 185 → 60 (60). Нижний просвет держится 80.0px на всех коротких вьюпортах. Остаток 3–5px — от того, что наша кнопка CTA 41px высотой, где у прототипа 44.",,"Hero, примерно от 1600px и выше едет расположение карточек. Все должно быть центрировано вместе с заголовком, смотри как на гите",,Irina N,"Safari, Desktop, Macbook Pro 15",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_17.31.21.png,Можно проверять
https://utopia.esipof.com/?variant=rounded,"Найдено обратное тому, что казалось: в Figma кнопки прижаты ВЛЕВО. И десктопный узел 154:8230, и мобильный 154:8336 ставят фрейм кнопок на x=20 при ширине 198, а родитель — flex-col items-start; тот justify-end, что Figma тоже выдаёт, там холостой. Наш порт применил его к растянутому флекс-ребёнку — отсюда обе пилюли у правого края. Было: ряд растянут до 331, Accept на x=161.72. Стало: ряд 208.89, Accept на x=20.00. Ваш скриншот обмерен попиксельно: карточка 370.5×149.5, кнопки 34.0 высотой — Safari рендерит наш CSS ровно как написано, багом WebKit это не было. ОТДЕЛЬНО, НУЖНО ВАШЕ РЕШЕНИЕ: кегль 10.84px — артефакт экспорта. Мастер вложенного элемента (154:6855) — текстовый бокс 134×18, то есть 15px на строке 18px; отношение 10.84/15 = 13.005/18 = 0.7226, инстанс отмасштабировали и масштаб запёкся только в метрики текста. Поставлено 14px как реконструкция. Выберите: 14 (кегль тела карточки), 15 (мастер) или 12.75. Файл будет экспортировать 10.84, пока инстанс не сбросят.",,"Кукис неправильно сверстаны, размер и расопложение кнопок",,Irina N,"Safari, Desktop, Macbook Pro 15",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_17.31.28.png,Можно проверять
